0.7167	-140.1	9.201
0.7208	-138.5	9.058
0.7251	-136.9	8.916
0.7293	-135.3	8.776
0.7336	-133.7	8.637
0.738		-132.2	8.5
0.7424	-130.6	8.364
0.7469	-129.1	8.23
0.7514	-127.6	8.098
0.756		-126		7.966
0.7606	-124.5	7.837
0.7653	-123		7.709
0.7701	-121.5	7.582
0.7749	-120		7.457
0.7798	-118.5	7.333
0.7847	-117		7.21
0.7897	-115.6	7.089
0.7948	-114.1	6.969
0.7999	-112.7	6.851
0.8051	-111.2	6.734
0.8104	-109.8	6.618
0.8157	-108.4	6.504
0.8211	-106.9	6.391
0.8266	-105.5	6.279
0.8321	-104.1	6.169
0.8377	-102.7	6.059
0.8434	-101.3	5.952
0.8492	-99.96	5.845
0.8551	-98.59	5.74
0.861		-97.23	5.636
0.867		-95.87	5.533
0.9184	-84.84	4.7
0.9253	-83.56	4.609
0.9322	-82.29	4.519
0.9393	-81.03	4.43
0.9464	-79.78	4.343
0.9537	-78.53	4.256
0.9611	-77.3		4.171
0.9686	-76.07	4.087
0.9763	-74.85	4.004
0.984		-73.57	3.915
0.9919	-72.31	3.827
0.9999	-71.05	3.741
1.008		-69.8		3.656
1.016		-68.56	3.573
1.025		-67.33	3.49
1.033		-66.11	3.41
1.042		-64.9		3.33
1.051		-63.7		3.252
1.06		-62.51	3.175
1.069		-61.33	3.099
1.078		-60.16	3.025
1.088		-58.99	2.952
1.097		-57.84	2.88
1.107		-56.7		2.809
1.117		-55.56	2.74
1.127		-54.44	2.672
1.137		-53.32	2.605
1.148		-52.22	2.54
1.159		-51.12	2.476
1.17		-50.03	2.413
1.181		-48.95	2.351
1.192		-47.88	2.291
1.204		-46.83	2.232
1.216		-45.78	2.174
1.228		-44.74	2.117
1.24		-43.71	2.062
1.252		-42.68	2.008
1.265		-41.67	1.956
1.278		-40.67	1.904
1.291		-39.68	1.854
1.305		-38.69	1.805
1.319		-37.72	1.758
1.333		-36.75	1.712
1.348		-35.8		1.667
1.362		-34.85	1.624
1.378		-33.91	1.582
1.393		-32.98	1.542
1.409		-32.06	1.502
1.425		-31.15	1.465
1.442		-30.25	1.429
1.459		-29.36	1.394
1.476		-28.47	1.361
1.494		-27.6		1.329
1.512		-26.73	1.3
1.531		-25.88	1.271
1.55		-25.03	1.245
1.569		-24.19	1.22
1.59		-23.36	1.198
1.61		-22.53	1.177
1.631		-21.72	1.158
1.653		-20.91	1.142
1.675		-20.11	1.128
1.698		-19.32	1.116
1.722		-18.54	1.106
1.746		-17.77	1.1
1.771		-17		1.096
1.797		-16.24	1.095
1.823		-15.49	1.098
1.851		-14.75	1.104
1.879		-14.01	1.114
1.907		-13.28	1.128
1.937		-12.55	1.146
1.968		-11.83	1.17
2		-11.12	1.199
2.033		-10.41	1.233
2.066		-9.706	1.274
2.101		-9.003	1.323
2.138		-8.301	1.381
2.175		-7.598	1.449
2.214		-6.891	1.531
2.254		-6.177	1.632
2.296		-5.45		1.761
2.339		-4.709	1.931
2.384		-3.959	2.166
2.431		-3.216	2.491
2.48		-2.521	2.929
2.53		-1.936	3.479
2.583		-1.524	4.094
2.638		-1.313	4.685
2.695		-1.263	5.154
2.755		-1.274	5.462
2.818		-1.257	5.651
2.883		-1.198	5.802
2.952		-1.148	5.947
3.024		-1.139	6.055
3.1		-1.148	6.083
